kernel,pair_type,similarity
Linear,Different class,-19.441522769059073
Linear,Same class,5.604047744312242
Linear,Different class,19.84838607173693
Linear,Same class,11.49060267339215
Linear,Different class,-12.646333278124507
Linear,Same class,-1.5029986338218402
Linear,Different class,1.6841073444154553
Linear,Same class,0.4255694171256012
Linear,Same class,-4.33116492130304
Linear,Same class,-3.00821159892375
Linear,Same class,-3.1973717399962536
Linear,Same class,1.4941965009478875
Linear,Same class,6.324837093001697
Linear,Same class,-2.32825794206772
Linear,Same class,-20.714473304587763
Linear,Same class,-13.760578136971155
Linear,Same class,0.7460525465465438
Linear,Different class,9.587606002420307
Linear,Same class,-1.8613387842970701
Linear,Same class,2.671323144174961
Linear,Same class,0.6005074043938197
Linear,Same class,18.446260454441617
Linear,Same class,5.676971557313533
Linear,Different class,0.3605507555352963
Linear,Different class,3.272710473697188
Linear,Same class,9.887272794744524
Linear,Different class,-3.585650988865727
Linear,Same class,2.640687441708917
Linear,Same class,-1.7323372215599542
Linear,Same class,-1.6774727698994365
Linear,Different class,-7.0858317358178535
Linear,Same class,-9.000664670701507
Linear,Same class,7.469582513570856
Linear,Same class,-0.15462610513308206
Linear,Different class,-2.523341127860801
Linear,Different class,0.5905993587710692
Linear,Different class,-13.754913222942788
Linear,Same class,-0.1457497584123143
Linear,Same class,-0.2908813913631255
Linear,Same class,-0.5396893586890438
Linear,Same class,0.9991192656242989
Linear,Different class,-14.247178605562908
Linear,Same class,-7.41026134435393
Linear,Different class,1.4804212124287244
Linear,Same class,5.091438391223582
Linear,Same class,5.750134236234431
Linear,Different class,1.5734821121649891
Linear,Different class,8.562846214734867
Linear,Same class,1.5050639419673713
Linear,Different class,-2.2154437132036837
Linear,Same class,7.481367733224401
Linear,Different class,-2.7741408755195756
Linear,Same class,2.705161636212169
Linear,Same class,-8.238241761662573
Linear,Same class,-1.5720613704393294
Linear,Different class,-5.067261727691963
Linear,Same class,3.837175297501928
Linear,Same class,-6.92565680235691
Linear,Same class,11.089268810006532
Linear,Different class,37.40004094189487
Linear,Same class,0.40880669865173924
Linear,Same class,2.1264650260886717
Linear,Different class,2.602352386330115
Linear,Same class,-10.69827628454528
Linear,Different class,25.683008022554482
Linear,Same class,-1.7466052627987119
Linear,Different class,4.346178655509891
